x[nm]                    Gamma[eV]                L_1[eV]                  L_2[eV]                  L_3[eV]                  L_4[eV]                  X_1[eV]                  X_2[eV]                  X_3[eV]                  HH[eV]                   LH[eV]                   SO[eV]                   electron_Fermi_level[eV] hole_Fermi_level[eV]    
-2347.8804157786         1.1779493131249          0.74059056193437         0.74059056193437         0.74059056193437         0.74059056193437         0.5059654188113          0.5059654188113          1.1362845732521          -0.00016833530858262     -0.16118895087447        -0.71326007060276        -0                       -0
-2286.6156344071         1.1779542110046          0.74059545981409         0.74059545981409         0.74059545981409         0.74059545981409         0.50597031669102         0.50597031669102         1.1362894711318          -0.00016343742885749     -0.16118405299474        -0.71325517272303        0                        0
-2286.6152344071         1.1779542110046          0.74059545981409         0.74059545981409         0.74059545981409         0.74059545981409         0.50597031669102         0.50597031669102         1.1362894711318          -0.00016343742885749     -0.16118405299474        -0.71325517272303        0                        0
-2227.7902221163         1.1779597282137          0.74060097702318         0.74060097702318         0.74060097702318         0.74060097702318         0.50597583390012         0.50597583390012         1.1362949883409          -0.00015792021976457     -0.16117853578565        -0.71324965551394        0                        0
-2227.7898221163         1.1779597282137          0.74060097702318         0.74060097702318         0.74060097702318         0.74060097702318         0.50597583390012         0.50597583390012         1.1362949883409          -0.00015792021976457     -0.16117853578565        -0.71324965551394        0                        0
-2171.3074197526         1.1779659618807          0.74060721069018         0.74060721069018         0.74060721069018         0.74060721069018         0.50598206756712         0.50598206756712         1.1363012220079          -0.00015168655276643     -0.16117230211865        -0.71324342184694        0                        0
-2171.3070197526         1.1779659618807          0.74060721069018         0.74060721069018         0.74060721069018         0.74060721069018         0.50598206756712         0.50598206756712         1.1363012220079          -0.00015168655276643     -0.16117230211865        -0.71324342184694        0                        0
-2117.0739373405         1.1779730547204          0.74061430352993         0.74061430352993         0.74061430352993         0.74061430352993         0.50598916040686         0.50598916040686         1.1363083148476          -0.00014459371302222     -0.1611652092789         -0.7132363290072         0                        0
-2117.0735373405         1.1779730547204          0.74061430352993         0.74061430352993         0.74061430352993         0.74061430352993         0.50598916040686         0.50598916040686         1.1363083148476          -0.00014459371302222     -0.1611652092789         -0.7132363290072         0                        0
-2065.0002               1.1779812207914          0.74062246960088         0.74062246960088         0.74062246960088         0.74062246960088         0.50599732647782         0.50599732647782         1.1363164809186          -0.00013642764206678     -0.16115704320795        -0.71322816293624        0                        0
-2064.9998               1.1779812207914          0.74062246960088         0.74062246960088         0.74062246960088         0.74062246960088         0.50599732647782         0.50599732647782         1.1363164809186          -0.00013642764206678     -0.16115704320795        -0.71322816293624        0                        0
-2015.0002               1.177990793854           0.74063204266346         0.74063204266346         0.74063204266346         0.74063204266346         0.5060068995404          0.5060068995404          1.1363260539812          -0.00012685457948702     -0.16114747014537        -0.71321858987366        0                        0
-2014.9998               1.183019714294           0.74171424036726         0.74171424036726         0.74171424036726         0.74171424036726         0.5038496063982          0.5038496063982          1.1318653349698          -0.0039810663556834      -0.16443185648921        -0.71407374039861        0                        0
-1965.0002               1.183030542329           0.74172506840226         0.74172506840226         0.74172506840226         0.74172506840226         0.5038604344332          0.5038604344332          1.1318761630048          -0.0039702383206843      -0.16442102845421        -0.71406291236361        -0                       -0
-1964.9998               1.1930880191697          0.74389850263335         0.74389850263335         0.74389850263335         0.74389850263335         0.49957666074398         0.49957666074398         1.1229839785918          -0.011666005230101       -0.17097738902293        -0.71576982344339        -0                       -0
-1915.0002               1.1930988698338          0.74390935329747         0.74390935329747         0.74390935329747         0.74390935329747         0.4995875114081          0.4995875114081          1.1229948292559          -0.01165515456598        -0.17096653835881        -0.71575897277927        -0                       -0
-1914.9998               1.2031558527278          0.74609483822294         0.74609483822294         0.74609483822294         0.74609483822294         0.49534482261628         0.49534482261628         1.1141416576891          -0.019334036319906       -0.17750634043748        -0.7174613756192         -0                       -0
-1865.0002               1.2031667261158          0.74610571161097         0.74610571161097         0.74610571161097         0.74610571161097         0.4953556960043          0.4953556960043          1.1141525310771          -0.01932316293188        -0.17749546704945        -0.71745050223118        -0                       -0
-1864.9998               1.213223204854           0.74830324603317         0.74830324603317         0.74830324603317         0.74830324603317         0.49115409393958         0.49115409393958         1.1053383820355          -0.026985147938517       -0.18401869976002        -0.71914841081774        -0                       -0
-1815.0002               1.2132341010613          0.74831414224048         0.74831414224048         0.74831414224048         0.74831414224048         0.49116499014689         0.49116499014689         1.1053492782428          -0.02697425173121        -0.18400780355271        -0.71913751461043        -0                       -0
-1814.9998               1.2232900655073          0.75052372506002         0.75052372506002         0.75052372506002         0.75052372506002         0.48700447675803         0.48700447675803         1.0965741614508          -0.03461932836012        -0.19051445592319        -0.72083094284468        -0                       -0
-1765.0002               1.2233009846299          0.75053464418259         0.75053464418259         0.75053464418259         0.75053464418259         0.4870153958806          0.4870153958806          1.0965850805734          -0.03460840923755        -0.19050353680062        -0.72082002372211        -0                       -0
-1764.9998               1.2333564247188          0.75275627439739         0.75275627439739         0.75275627439739         0.75275627439739         0.48289597323436         0.48289597323436         1.0878490058002          -0.042236565819884       -0.1969935977627         -0.72250898542382        -0                       -0
-1715.0002               1.2333673668533          0.75276721653181         0.75276721653181         0.75276721653181         0.75276721653181         0.48290691536878         0.48290691536878         1.0878599479347          -0.042225623685464       -0.19698265562828        -0.7224980432894         -0                       -0
-1714.9998               1.2434222725914          0.75500089323617         0.75500089323617         0.75500089323617         0.75500089323617         0.47882858564883         0.47882858564883         1.079162924994           -0.04983684851417        -0.20345611401477        -0.72418255220128        -0                       -0
-1665.0002               1.2434332378349          0.75501185847964         0.75501185847964         0.75501185847964         0.75501185847964         0.47883955089229         0.47883955089229         1.0791738902375          -0.049825883270702       -0.2034451487713         -0.72417158695781        -0                       -0
-1664.9998               1.2534875992985          0.75725758086338         0.75725758086338         0.75725758086338         0.75725758086338         0.47480231639818         0.47480231639818         1.0705159289874          -0.057420164600736       -0.2099019933135         -0.72585165674983        -0                       -0
-1615.0002               1.2534985877488          0.75726856931371         0.75726856931371         0.75726856931371         0.75726856931371         0.47481330484851         0.47481330484851         1.0705269174378          -0.057409176150403       -0.20989100486317        -0.7258406682995         -0                       -0
-1614.9998               1.2635523950836          0.75952633666125         0.75952633666125         0.75952633666125         0.75952633666125         0.47081716799459         0.47081716799459         1.0619080277802          -0.064986502198931       -0.21633122418799        -0.72751631257339        -0                       -0
-1565.0002               1.2635634068392          0.75953734841689         0.75953734841689         0.75953734841689         0.75953734841689         0.47082817975022         0.47082817975022         1.0619190395358          -0.064975490443295       -0.21632021243236        -0.72750530081775        -0                       -0
-1564.9998               1.2736166502594          0.76180716010636         0.76180716010636         0.76180716010636         0.76180716010636         0.46687314306464         0.46687314306464         1.0533392314163          -0.07253584938991        -0.22274379505938        -0.72917653311155        -0                       -0
-1515.0002               1.2736276854194          0.76181819526636         0.76181819526636         0.76181819526636         0.76181819526636         0.46688417822464         0.46688417822464         1.0533502665763          -0.072524814229905       -0.22273275989938        -0.72916549795154        -0                       -0
-1514.9998               1.2836803552074          0.76410005076875         0.76410005076875         0.76410005076875         0.76410005076875         0.46297024434832         0.46297024434832         1.044809549984           -0.080068194216817       -0.22913969423772        -0.73083233174436        -0                       -0
-1465.0002               1.2836914138714          0.76411110943282         0.76411110943282         0.76411110943282         0.76411110943282         0.4629813030124          0.4629813030124          1.0448206086481          -0.080057135552744       -0.22912863557364        -0.73082127308029        -0                       -0
-1464.9998               1.2937435003763          0.7664050083111          0.7664050083111          0.7664050083111          0.7664050083111          0.45910847469804         0.45910847469804         1.0363189936151          -0.087583524684983       -0.23551890991861        -0.73248372179719        -0                       -0
-1415.0002               1.2937545826448          0.76641609057958         0.76641609057958         0.76641609057958         0.76641609057958         0.45911955696652         0.45911955696652         1.0363300758836          -0.087572442416505       -0.23550782765013        -0.73247263952871        -0                       -0
-1414.9998               1.3038060762824          0.76872203248787         0.76872203248787         0.76872203248787         0.76872203248787         0.4552878370776          0.4552878370776          1.027867572485           -0.095081828762113       -0.24188143017978        -0.73413071654576        -0                       -0
-1365.0002               1.3038171822563          0.76873313846174         0.76873313846174         0.76873313846174         0.76873313846174         0.45529894305147         0.45529894305147         1.0278786784589          -0.095070722788247       -0.24187032420591        -0.73411961057189        -0                       -0
-1364.9998               1.313868073508           0.77105112314447         0.77105112314447         0.77105112314447         0.77105112314447         0.45150833456127         0.45150833456127         1.0194552968122          -0.10256309437848        -0.24822724297734        -0.73577332922136        -0                       -0
